slug,generic_name,display_name,active_ingredient,salt,category,description,strengths,dosage_forms,routes,mechanism_of_action,pronunciation_en,key_suffix,verification_status
sotalol,Sotalol,Sotalol Hydrochloride,Sotalol hydrochloride,Sotalol hydrochloride,Cardiovascular,"A non-selective beta-blocker with Class III antiarrhythmic potassium channel-blocking properties, used for ventricular arrhythmias and maintaining sinus rhythm in atrial fibrillation.",40 mg; 80 mg; 160 mg,Tablet,Oral,"D- and L-isomers block beta-1 and beta-2 adrenergic receptors; D-isomer selectively blocks rapid delayed rectifier potassium current (IKr), prolonging myocardial action potential duration and effective refractory period.",SOE-ta-lol,-olol,verified
pindolol,Pindolol,Pindolol,Pindolol,Pindolol,Cardiovascular,"A non-selective beta-adrenergic blocker with potent intrinsic sympathomimetic activity (ISA), lowering blood pressure with minimal resting bradycardia or metabolic suppression.",5 mg; 10 mg,Tablet,Oral,Partial agonist at beta-1 and beta-2 adrenergic receptors (intrinsic sympathomimetic activity - ISA); competitively blocks catecholamines during exercise/stress while providing low-level basal receptor stimulation at rest.,PIN-doe-lol,-olol,verified
fosinopril,Fosinopril,Fosinopril Sodium,Fosinopril sodium,Fosinopril sodium,Cardiovascular,"A phosphinic acid-containing ACE inhibitor prodrug characterized by dual, compensatory hepatic and renal elimination, eliminating the need for dose reductions in renal impairment.",10 mg; 20 mg; 40 mg,Tablet,Oral,"Hydrolyzed in the liver and gastrointestinal mucosa to fosinoprilat, which competitively inhibits angiotensin-converting enzyme (ACE), blocking conversion of angiotensin I to angiotensin II and preventing bradykinin degradation.",foe-SIN-oh-pril,-pril,verified
quinapril,Quinapril,Quinapril Hydrochloride,Quinapril hydrochloride,Quinapril hydrochloride,Cardiovascular,"A lipophilic bicyclic prodrug ACE inhibitor with high vascular tissue ACE affinity and endothelial protective actions, used for hypertension and heart failure.",5 mg; 10 mg; 20 mg; 40 mg,Film-coated Tablet,Oral,"De-esterified in the liver to active quinaprilat, a potent competitive inhibitor of angiotensin-converting enzyme (ACE); exhibits extremely high affinity and binding to tissue-bound ACE in vascular endothelium.",KWIN-a-pril,-pril,verified
trandolapril,Trandolapril,Trandolapril,Trandolapril,Trandolapril,Cardiovascular,"An ultra-lipophilic, long-acting non-sulfhydryl ACE inhibitor prodrug proven in the TRACE trial to significantly reduce mortality, sudden cardiac death, and progression to severe heart failure post-MI.",1 mg; 2 mg; 4 mg,Capsule,Oral,"Bioactivated in the liver by ester cleavage to trandolaprilat, an exceptionally potent, slow-dissociating competitive inhibitor of ACE with high tissue affinity; blocks angiotensin II formation and promotes bradykinin-mediated vasodilation.",tran-DOE-la-pril,-pril,verified
benazepril,Benazepril,Benazepril Hydrochloride,Benazepril hydrochloride,Benazepril hydrochloride,Cardiovascular,A potent non-sulfhydryl ACE inhibitor prodrug proven to slow the progression of chronic renal insufficiency in non-diabetic kidney disease (AIPRI trial).,5 mg; 10 mg; 20 mg; 40 mg,Film-coated Tablet,Oral,"Cleaved by hepatic esterases to active benazeprilat, which competitively inhibits ACE, preventing conversion of angiotensin I to angiotensin II and reducing sympathetic outflow and aldosterone production.",ben-AY-ze-pril,-pril,verified
irbesartan,Irbesartan,Irbesartan,Irbesartan,Irbesartan,Cardiovascular,"A potent, non-peptide AT1-receptor blocker with insurmountable binding and high oral bioavailability (60-80%), proven to halt the progression of diabetic nephropathy (IDNT and IRMA-2 trials).",75 mg; 150 mg; 300 mg,Tablet,Oral,"Selectively and insurmountably blocks angiotensin II type 1 (AT1) receptors in vascular smooth muscle and the adrenal gland, blocking angiotensin II-mediated vasoconstriction and aldosterone synthesis.",ir-be-SAR-tan,-sartan,verified
eprosartan,Eprosartan,Eprosartan Mesylate,Eprosartan mesylate,Eprosartan mesylate,Cardiovascular,"A non-biphenyl, non-tetrazole AT1-receptor blocker with dual postsynaptic AT1 and presynaptic sympathoinhibitory properties, effective for isolated systolic hypertension and stroke prevention (MOSES trial).",400 mg; 600 mg,Film-coated Tablet,Oral,"Competitively and selectively blocks AT1 receptors postsynaptically, preventing angiotensin II vasoconstriction; uniquely blocks presynaptic AT1 receptors on sympathetic nerve terminals, inhibiting norepinephrine release and sympathetic tone.",ep-roe-SAR-tan,-sartan,verified
azilsartan,Azilsartan,Azilsartan Medoxomil,Azilsartan medoxomil,Azilsartan medoxomil,Cardiovascular,"An advanced ester prodrug ARB with the tightest, longest-lasting AT1-receptor binding kinetics in its class, delivering superior 24-hour blood pressure reduction compared to valsartan and olmesartan.",40 mg; 80 mg,Tablet,Oral,"Rapidly hydrolyzed by esterases in the gastrointestinal tract and liver to active azilsartan; binds with exceptional affinity and an extremely slow dissociation rate to the AT1 receptor, providing insurmountable and sustained receptor blockade.",a-ZIL-sar-tan,-sartan,verified
lercanidipine,Lercanidipine,Lercanidipine Hydrochloride,Lercanidipine hydrochloride,Lercanidipine hydrochloride,Cardiovascular,"A highly lipophilic, third-generation dihydropyridine calcium channel blocker that integrates into the cell membrane lipid bilayer, providing smooth 24-hour vasodilation with minimal pedal oedema.",10 mg; 20 mg,Film-coated Tablet,Oral,"Inhibits transmembrane calcium influx through L-type calcium channels in vascular smooth muscle; high lipophilicity causes it to dissolve in the membrane lipid bilayer, creating a local drug reservoir that diffuses slowly to receptor sites.",ler-ka-NI-di-peen,-dipine,verified
